lambda,N,log_loss,brier,AUC,cal_int,cal_slope,note
0.0,813,0.6789485134515194,0.24240769613477015,0.712710033022533,0.8550621383471958,1.4505933212805053,Pure-DCE
0.1,813,0.6853467304790942,0.24574164063982462,0.708327263014763,0.875001126289759,1.5896915409536463,
0.15,813,0.6892701229021355,0.2477258287640241,0.6978377525252526,0.8752892113944797,1.6431152489868392,
0.2,813,0.6936510336417171,0.24992149413600492,0.701067162004662,0.862768254404439,1.670907903455578,
0.25,813,0.6984772974855901,0.2523286367557673,0.6684816919191919,0.8326269585024456,1.6581875334024765,Main
0.3,813,0.7037411609695575,0.2549472566233111,0.6491355866355867,0.7741301428688074,1.574822856820544,
0.4,813,0.715569485801694,0.2608189281017431,0.5428200271950272,0.5133827149437339,1.0208391252517985,
0.5,813,0.7291448041532741,0.26753650857130096,0.4737155205905206,-0.003913160064959887,-0.3097037723723772,
0.6,813,0.7445261099749931,0.27509999803198465,0.385956925019425,-0.5983038518344016,-2.029007246910498,
0.7,813,0.7618233125421131,0.28350939648379425,0.2740263209013209,-0.8814971989901348,-3.013023573715125,
0.8,813,0.7812043720011508,0.29276470392672954,0.28682862276612275,-0.8601241227024113,-3.121276641285343,
1.0,813,0.8272822436899128,0.31381304578597785,0.21363879176379175,-0.577705817657012,-2.4996912444947252,Unconstrained LLM
